CurveID,CurveName,DataSource,Commodity,ProductOrMarket,Location,ContractType,PriceType,Granularity,PublicationFrequency,PublicationCalendar,Currency,CurveUnit,CurveType,UsageType,Description,OwnerRole,Destination,CurveStatus,SettlementTime,ProductCode,CreatedBy,CreatedDateTimeUtc,GMACurveID,TimeOfDay,Timezone,SurfaceContractType,SurfaceStrikeType
1011,APX NL Power DA OffPeak Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,NULL,EUR,MWh,Settlement Price,Analysis,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-05-02 15:55:04.907,NULL,Off Peak,NULL,NULL,NULL
1595,Argus Austrian Power peakload day-ahead buy EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Buy,Daily,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-06 20:29:54.537,NULL,Peak,NULL,NULL,NULL
1370,Argus Austrian Power peakload year sell EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Sell,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-05 17:47:27.630,NULL,Peak,NULL,NULL,NULL
1278,Argus Czech Power baseload quarter buy EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Buy,Quarterly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:53:26.413,NULL,Base,NULL,NULL,NULL
1372,Argus Czech Power baseload year sell EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Sell,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-05 17:47:32.277,NULL,Base,NULL,NULL,NULL
1599,Argus Czech Power peakload day-ahead buy EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Buy,Daily,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-06 20:31:30.737,NULL,Peak,NULL,NULL,NULL
1373,Argus Czech Power peakload year buy EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Buy,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-05 17:47:34.967,NULL,Peak,NULL,NULL,NULL
1374,Argus Czech Power peakload year sell EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Sell,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-05 17:47:37.347,NULL,Peak,NULL,NULL,NULL
1250,Argus Dutch Power baseload month buy EUR MWh,Argus,Power,Dutch Power,Netherlands,OTC Physical Power,Buy,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:10:01.423,NULL,Base,NULL,NULL,NULL
2718,AOC_Trader,GMT Trader,Natural Gas,AOC,Spain,OTC Physical Gas,Mid,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,Trader view of market for desk use,FrontOffice,ArcTimeSeries,Active,NULL,NULL,gazpromuk\vgoyal,2014-12-09 17:10:49.910,NULL,NULL,NULL,NULL,NULL
1012,APX NL Power DA Peak Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,NULL,EUR,MWh,Settlement Price,Analysis,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-05-02 15:55:06.220,NULL,Peak,NULL,NULL,NULL
NULL,ARCmonthlytest10,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,FrontOffice,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,ARCseasonaltest30,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,FrontOffice,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1244,Argus Austrian Power peakload month buy EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Buy,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:09:45.683,NULL,Peak,NULL,NULL,NULL
1245,Argus Austrian Power peakload month sell EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Sell,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:09:48.333,NULL,Peak,NULL,NULL,NULL
1276,Argus Austrian Power peakload quarter buy EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Buy,Quarterly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:53:21.607,NULL,Peak,NULL,NULL,NULL
9788,Argus Belgian Power baseload day-ahead buy EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Buy,Daily,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 20:57:21.790,NULL,Base,NULL,NULL,NULL
9784,Argus Belgian Power baseload quarter buy EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Buy,Quarterly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 20:55:43.687,NULL,Base,NULL,NULL,NULL
9785,Argus Belgian Power baseload quarter sell EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Sell,Quarterly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 20:55:44.170,NULL,Base,NULL,NULL,NULL
1009,APX NL Power DA Base Daily EUR MWh,APX,Power,Dutch Power,Netherlands,Day Ahead,Exchange Settle,Daily,Daily,NULL,EUR,MWh,Settlement Price,Analysis,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-05-02 15:55:02.210,3244842,Base,NULL,NULL,NULL
6628,APX UK Power DA Base Daily GBP MWh,APX,Power,UK Power,UK,Day Ahead,Mid,Daily,Daily,NULL,GBP,MWh,Settlement Price,NULL,NULL,ProductControl,ArcTimeSeries,Active,NULL,NULL,gazpromuk\svc_arcservice_prod,2017-11-17 22:03:36.823,NULL,Base,NULL,NULL,NULL
NULL,ARCdailytest04,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,NULL,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,ARCmonthlytest12,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,FrontOffice,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,ARCquarterlytest21,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,FrontOffice,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,ARCseasonaltest31,Analyst Curve,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Analysis,Test curve setup for Peter Norton.,FrontOffice,ArcTimeSeries,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1369,Argus Austrian Power peakload year buy EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Buy,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-05 17:47:25.420,NULL,Peak,NULL,NULL,NULL
9789,Argus Belgian Power baseload day-ahead sell EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Sell,Daily,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 21:00:17.123,NULL,Base,NULL,NULL,NULL
9770,Argus Belgian Power baseload month sell EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Sell,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 10:20:33.217,NULL,Base,NULL,NULL,NULL
9791,Argus Belgian Power baseload year sell EUR MWh,Argus,Power,Belgian Power,Belgium,OTC Physical Power,Sell,Yearly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2018-03-27 21:07:13.153,NULL,Base,NULL,NULL,NULL
1246,Argus Czech Power baseload month buy EUR MWh,Argus,Power,Czech Power,Czech Republic,OTC Physical Power,Buy,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:09:51.080,NULL,Base,NULL,NULL,NULL
NULL,AOC_Storage,GMT Trader,Natural Gas,AOC,Spain,OTC Physical Gas,Mid,Monthly,Daily,UK,EUR,MWh,Forward Curve,Analysis,Trader view of market for desk use,FrontOffice,ArcTimeSeries,Active,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5678,APX Power HUB NL Price,APX,Power,Dutch Power,Netherlands,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Settlement Price,NULL,NULL,ProductControl,NULL,NULL,NULL,NULL,gazpromuk\svc_arcservice_prod,2016-09-21 09:45:02.227,NULL,NULL,NULL,NULL,NULL
1243,Argus Austrian Power baseload month sell EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Sell,Monthly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:09:42.690,NULL,Base,NULL,NULL,NULL
1274,Argus Austrian Power baseload quarter buy EUR MWh,Argus,Power,Austrian Power,Austria,OTC Physical Power,Buy,Quarterly,Daily,Argus,EUR,MWh,Forward Curve,Analysis,NULL,ProductControl,ArcTimeSeries,NULL,NULL,NULL,GAZPROMUK\svc_arcservice_prod,2014-06-02 18:53:12.577,NULL,Base,NULL,NULL,NULL
